,Age,Age,Age,Min,Min,Min,Gls,Gls,Gls,Gls.1,Gls.1,Gls.1,Ast,Ast,Ast,Ast.1,Ast.1,Ast.1
,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std
Squad,,,,,,,,,,,,,,,,,,
Arsenal,0.0,0.0,0.0,1546.9130434782608,1583.0,960.0809110336614,2.782608695652174,1.0,3.3160288645954275,0.19478260869565214,0.11,0.23114083792467685,2.0869565217391304,2.0,2.043015673820997,0.12478260869565218,0.11,0.12755995257907665
Aston Villa,0.0,0.0,0.0,1458.48,1411.0,947.8219822308407,2.04,0.0,3.517574922206112,0.1284,0.0,0.1927148152063043,1.56,1.0,1.8726095873584183,0.08960000000000001,0.09,0.09185495813146578
Bournemouth,0.0,0.0,0.0,1684.142857142857,1525.0,935.57465152249,2.619047619047619,1.0,3.398178783939869,0.16714285714285712,0.1,0.20233988378821552,1.4761904761904763,1.0,1.5368489717290903,0.07714285714285715,0.08,0.0781116417151027
Brentford,0.0,0.0,0.0,1770.6,1894.0,1049.9862354987526,2.5,1.0,4.9894625804895325,0.1325,0.035,0.23137745420803096,1.6,1.0,1.3138933706635725,0.154,0.065,0.2535931262558402
Brighton,0.0,0.0,0.0,1482.0,1563.0,956.9131985531484,2.125,1.0,2.691573000568869,0.16666666666666666,0.12,0.18885620632287062,1.375,1.0,1.345281609439322,0.11125,0.1,0.1406294081434698
Burnley,0.0,0.0,0.0,1538.0,1479.0,781.2329998150359,1.4782608695652173,1.0,2.5738115565934025,0.10347826086956523,0.05,0.15899138614895217,1.1304347826086956,1.0,1.423962072595237,0.07304347826086957,0.04,0.09617383799466728
Chelsea,0.0,0.0,0.0,1355.1153846153845,1091.5,984.6408208853857,2.076923076923077,0.5,3.6542914708389307,0.09153846153846154,0.02,0.1415822674685586,1.3846153846153846,1.0,1.6751578570850705,0.08615384615384616,0.03,0.11359848319680761
Crystal Palace,0.0,0.0,0.0,1537.0869565217392,1626.0,998.0490474850276,1.608695652173913,1.0,2.759102792819411,0.10652173913043479,0.03,0.15452592296946557,0.9130434782608695,1.0,1.202763616096502,0.06391304347826086,0.04,0.08526638101400397
Everton,0.0,0.0,0.0,1691.4285714285713,1627.0,1078.5205408998277,2.0952380952380953,1.0,2.9984122782693166,0.09666666666666668,0.03,0.14846997451785776,1.5714285714285714,1.0,2.0632844828435215,0.06952380952380952,0.03,0.08639885360791488
Fulham,0.0,0.0,0.0,1545.1739130434783,1644.0,881.7054575276214,1.7391304347826086,1.0,2.7172411025682215,0.12695652173913044,0.05,0.21211992282687417,1.0869565217391304,0.0,1.5929687401561352,0.058695652173913045,0.0,0.0862503938239276
Leeds United,0.0,0.0,0.0,1616.3636363636363,1641.0,921.0315927291499,2.1363636363636362,1.0,3.2992849809134985,0.1109090909090909,0.03,0.16967501404040136,1.0909090909090908,1.0,1.3059968245090439,0.06181818181818182,0.035,0.07281001786360652
Liverpool,0.0,0.0,0.0,1664.1818181818182,1825.0,1044.224963737113,2.727272727272727,2.0,3.1195515273195493,0.15045454545454545,0.08,0.1764322957350921,1.9545454545454546,1.0,2.081146037924497,0.13136363636363638,0.10500000000000001,0.1269906428703445
Manchester City,0.0,0.0,0.0,1422.8,1359.0,876.6140827068659,2.88,1.0,5.286145413563018,0.1416,0.07,0.19314674904503745,2.24,1.0,2.947880594596735,0.134,0.12,0.15160255055022437
Manchester Utd,0.0,0.0,0.0,1613.7727272727273,1477.5,848.7092121803714,2.727272727272727,1.0,3.7439706218553606,0.13454545454545455,0.06,0.16809088450759443,1.9090909090909092,1.0,3.9750302893016802,0.08181818181818182,0.060000000000000005,0.1283461229360952
Newcastle United,0.0,0.0,0.0,1611.909090909091,1605.5,588.6505883387149,2.272727272727273,1.0,2.7976489820633015,0.13272727272727272,0.055,0.1737864540225492,1.3181818181818181,1.0,1.3587937099944,0.07090909090909091,0.065,0.06851548944853487
Nottingham Forest,0.0,0.0,0.0,1225.4137931034484,1028.0,1020.4695528894451,1.5172413793103448,0.0,2.7074063716191077,0.11586206896551723,0.0,0.20689053767942311,1.0689655172413792,0.0,1.4621665549733924,0.07862068965517242,0.0,0.10979604917205858
Sunderland,0.0,0.0,0.0,1416.76,1361.0,1024.6790261670562,1.36,1.0,1.7530925056406275,0.08439999999999999,0.03,0.11060741385639572,0.84,0.0,1.5726834816113933,0.031200000000000002,0.0,0.053018864567246256
Tottenham Hotspur,0.0,0.0,0.0,1362.8461538461538,1335.5,741.951787776413,1.7307692307692308,1.0,2.2010487011003153,0.12769230769230772,0.09,0.1647861084511117,1.3461538461538463,1.0,1.5477030126560507,0.08192307692307692,0.055,0.0950376443634513
West Ham United,0.0,0.0,0.0,1223.5172413793102,1171.0,908.1995776845549,1.3793103448275863,0.0,2.2899437470234982,0.0696551724137931,0.0,0.12001436695605268,0.9310344827586207,0.0,2.069006567737256,0.03896551724137932,0.0,0.06608137989231844
Wolves,0.0,0.0,0.0,1313.2222222222222,1236.0,732.059231175127,0.8518518518518519,1.0,1.0267088458424103,0.054814814814814816,0.03,0.07870931771497386,0.6296296296296297,1.0,0.6877023141843226,0.05296296296296296,0.03,0.08457199094512115
